x,y,z
1532332859.04,3796382.543050948109337357566569,-416462.179262653818843835212501,5098767.350422762860239359509576
1532332864.04,3796468.710182711414037761812928,-416601.940859586549224905016313,5098927.233161439669409819423877
1532332869.04,3796743.047674319999028762801050,-417046.911524656261634232733949,5099436.265185419498135129635371
1532332874.04,3797227.561989373040377737690849,-417832.785361072198715064756098,5100335.279392311980209404739713
1532332879.04,3797946.892924663588088442639665,-418999.527692935711816295149628,5101669.994818024640283403448929
1532332884.04,3798923.265724351450619534398221,-420583.187481757527069834675052,5103481.650306549073622175143455
1532332889.04,3800181.811113830357139510894745,-422624.526329335139310978355493,5105816.875809689216609939492247
1532332894.04,3801763.163536764324188684549584,-425189.452600277005898821950450,5108751.068361162541382866002057
1532332899.04,3803716.840542480478718298039560,-428358.282902893950432213913866,5112376.107558636202325101424853
1532332904.04,3806096.267394733240285825135069,-432217.672090678397559728454221,5116791.123746943106508019378069
1532332909.04,3808961.223774939671106016914144,-436864.581772628299966542882212,5122107.037865245754297171446803
1532332914.04,3812380.790938364486739858301426,-442411.060549621732118290897421,5128452.029882631939038985139215
1532332919.04,3816436.500540576842778434491940,-448989.351356390610354910488559,5135977.381431829575233770706234
1532332924.04,3820954.347768674598686690213912,-456317.221396889032806936929701,5144360.227338371846666120862470
1532332929.04,3825687.464794333408428499975961,-463994.255324635288617824916185,5153142.505419164788171390742755
1532332934.04,3830651.664126112454639186753446,-472046.100754948808947979292586,5162353.555715175102779415615044
1532332939.04,3835863.531000582710159487699614,-480499.658654590096928099871751,5172024.152060779516634190630354
1532332944.04,3841340.957634664099444837703579,-489383.949889864783191213620232,5182187.493386782703885145169225
1532332949.04,3847103.520236176856210213061901,-498730.726731158123466888291883,5192879.903261740441686684582939
1532332954.04,3853172.839488005125153706210792,-508575.057552054588923351223857,5204141.498768834725889508045370
1532332959.04,3859573.000080857657598035639220,-518956.007304187443585360865779,5216016.968947039061860062443644
1532332964.04,3866331.059598716813146253421574,-529917.462920667032011320127758,5228556.519025923880766436191522
1532332969.04,3873477.685451305611510081215907,-541509.166409472906733158755488,5241817.052251000659950093992087
1532332974.04,3881047.975125489123117810248122,-553788.045287079010215583625293,5255863.691856672102924502168933
1532332979.04,3889082.537390920900424871322691,-566819.966275287851394030547251,5270771.787238649034887335052883
1532332984.04,3897497.304966772499537828428930,-580468.573699046253024285827673,5286385.351922517607088544081653
1532332989.04,3906178.507673295257989319113660,-594549.334295143963453692952737,5302493.285833982909532971001275
1532332994.04,3915143.769335696584911866017257,-609090.833603162992778284164050,5319128.289904158925124188410553
1532332999.04,3924412.671241713880723770052550,-624124.832133026853898588080199,5336326.697127371293186901324069
1532333004.04,3934007.032137636059484578294216,-639686.719513742631006202066761,5354128.992092582002451830441349
1532333009.04,3943951.324969613626481439322974,-655816.190440550796528133459514,5372580.584245070404455534704132
1532333014.04,3954273.203624425777139920268670,-672558.099039364594694230206696,5391732.785251627213675138938587
1532333019.04,3965004.178146583004427335589993,-689963.554057226707199746355125,5411644.061862949703244713737646
